feature,importance_mean,importance_std
cluster_separation_norm,0.43455628254934087,0.004698201818645623
pca_axis_ratio,0.14131467073989093,0.001958648500866477
cluster_compactness_norm,0.12346668046508939,0.006283675475258631
chromatin_area_ratio,0.07325912458153383,0.001576354519196882
band_score,0.04031970077572513,0.0008436439630643636
file_size_bytes,0.022800070104273852,0.0026408457096206398
gray_std,0.011888333750511881,0.0013845946955526477
contrast_gain_clahe,0.009010379352811149,0.0014494172824911923
std_object_area_norm,0.0075431325948698506,0.001443422417480655
clahe_std,0.006838940195029975,0.001286355629889284
clahe_mean,0.005268777489449139,0.0010652475865053769
gray_mean,0.004896366693478793,0.0009553543872983494
mean_object_area_norm,0.00438637290522641,0.0003389737439137863
sharpened_mean,0.0039055599688133436,0.0005932574833276693
mean_circularity,0.003845919119350216,0.0011419023958266748
sharpened_std,0.003645983337088121,0.0011713556917028675
spindle_angle_coherence,0.0035449960610207444,0.001257984606853462
edge_density,0.0033662433785761614,0.0015429913615336748
contrast_gain_background_corrected,0.0030606628534526337,0.000884443280147028
max_object_area_norm,0.0027261942916188887,0.00043741800938724886
centroid_distance_to_center_norm,0.0018398251437384606,0.0006802760685493182
background_corrected_mean,0.0018376288520822515,0.0006958149936891384
cluster_balance,0.001788597815431525,0.0006771963983917219
std_circularity,0.0015510733611338035,0.0006375846463776249
pca_minor_span_norm,0.0014655859033171348,0.0007549979586010429
candidate_line_edge_density,0.0014019530880751362,0.000856528416059471
object_count,0.0009542898404421241,0.0004971571879596335
axis_line_alignment,0.0007674066274844904,0.00038488984474198754
background_corrected_std,0.0007520692481636449,0.00025584493719763436
chromatin_centroid_x_norm,0.0007338905487028757,0.0004312999558142697
spindle_total_length_norm,0.0007239049309180512,0.0016417015326198007
pca_major_span_norm,0.0005856418274812647,0.00036845232166664174
axis_line_perpendicularity,6.632261776291503e-05,0.0007732270324871492
spindle_dominant_angle_rad,-0.0001756487991039224,0.00040861684174564735
chromatin_centroid_y_norm,-0.00045931039579358843,0.00040927068314761486
pca_angle_rad,-0.0005222894334460104,0.0006645289864796584
spindle_mean_length_norm,-0.0006057235157997277,0.0006792498079030118
spindle_line_count,-0.0011432962776127598,0.0007752514896386648
